Description	ID	Manufacturer	Manufacturer Part Number	Supplier	Supplier Part Number	Reference Designators	Line Quantity	Order Quantity	Unit Price	Order Price	Legacy ID	Mounting Type	Datasheet 1	Datasheet 2	Datasheet 3	Datasheet 4	Datasheet 5	Datasheet 6	Datasheet 7	Datasheet 8	Datasheet 9	Datasheet 10	Datasheet 11	Datasheet 12	Datasheet 13	Datasheet 14	Datasheet 15	Datasheet 16	Datasheet 17	Datasheet 18	Datasheet 19	Datasheet 20	Datasheet 21	Datasheet 22	Datasheet 23	Datasheet 24	Datasheet 25	Datasheet 26	Datasheet 27	Datasheet 28	Datasheet 29	Datasheet 30	Datasheet 31
Res Thick Film 0201 402K Ohm 1% 1/20W ±200ppm/°C Molded SMD SMD T/R	PANASONIC/ERJ-1GNF4023C	Panasonic	ERJ-1GNF4023C	Mouser	667-ERJ-1GNF4023C	R27	1	100	0.0168	1.6800		Surface mount																															
Res Thick Film 0201 845K Ohm 1% 1/20W ±200ppm/°C Molded SMD SMD T/R	PANASONIC/ERJ-1GNF8453C	Panasonic	ERJ-1GNF8453C	Mouser	667-ERJ-1GNF8453C	R28,R29	2	100	0.0168	1.6800		Surface mount	http://datasheet.octopart.com/ERJ-1GNF8453C-Panasonic-datasheet-11629040.pdf	http://datasheet.octopart.com/ERJ-1GNF8453C-Panasonic-datasheet-13266541.pdf	http://datasheet.octopart.com/ERJ-1GNF8453C-Panasonic-datasheet-154766169.pdf	http://datasheet.octopart.com/ERJ-1GNF8453C-Panasonic-datasheet-78375410.pdf	http://datasheet.octopart.com/ERJ1GNF8453C-Panasonic-datasheet-82288794.pdf	http://datasheet.octopart.com/Precision-Thick-Film-Chip-Resistors-Panasonic-datasheet-family-106.pdf																									
UWB Transceiver IC, non AOA, WLCSP	QORVO/DW3110TR13	Qorvo	DW3110TR13	Mouser	772-DW3110TR13	U2	1	12	12.8400	154.0800		Surface mount																															
UWB bypass switch and LNA, 6.2 - 8.3 GHz	QORVO/QM14068	Qorvo	QM14068	user-25598	Consign	U7	1	12		0.0000		Surface mount																															
RT8020 Series 5.5 V 1.5 MHz 1 A Dual PWM Step-Down DC-DC Converter - DFN-12W	RICHTEK/RT8020GQW	Richtek	RT8020GQW	Digi-Key	1028-1032-1-ND	VR1	1	16	1.2600	20.1600		Surface mount	http://datasheet.octopart.com/RT8020GQW-Richtek-datasheet-103055696.pdf	http://datasheet.octopart.com/RT8020GQW-Richtek-datasheet-12511786.pdf	http://datasheet.octopart.com/RT8020GQW-Richtek-datasheet-14168583.pdf	http://datasheet.octopart.com/RT8020GQW-Richtek-datasheet-145014622.pdf	http://datasheet.octopart.com/RT8020GQW-Richtek-datasheet-159008034.pdf	http://datasheet.octopart.com/RT8020GQW-Richtek-datasheet-21404912.pdf																									
Multilayer Ceramic Capacitor, 0.1 uF, 10 V, ï¿½ 10%, X5R, 0402 [1005 Metric]	SAMSUNG/CL05A104KP5NNNC	Samsung	CL05A104KP5NNNC	Mouser	187-CL05A104KP5NNNC	C23,C25,C26,C31,C32,C33,C34,C35,C36	9	158	0.0060	0.9480		Surface mount	http://datasheet.octopart.com/CL05A104KP5NNNC-Samsung-datasheet-42280511.pdf	http://datasheet.octopart.com/CL05A104KP5NNNC-Samsung-datasheet-59220082.pdf	http://datasheet.octopart.com/CL05A104KP5NNNC-Samsung-Electro-Mechanics-datasheet-110226197.pdf	http://datasheet.octopart.com/CL05A104KP5NNNC-Samsung-Electro-Mechanics-datasheet-11780788.pdf	http://datasheet.octopart.com/CL05A104KP5NNNC-Samsung-Electro-Mechanics-datasheet-136031717.pdf	http://datasheet.octopart.com/CL05A104KP5NNNC-Samsung-Electro-Mechanics-datasheet-149136630.pdf	http://datasheet.octopart.com/CL05A104KP5NNNC-Samsung-Electro-Mechanics-datasheet-81461587.pdf	http://datasheet.octopart.com/CL05A104KP5NNNC-Samsung-Electro-Mechanics-datasheet-8324245.pdf	http://datasheet.octopart.com/CL05A104KP5NNNC-Samsung-Electro-Mechanics-datasheet-97040617.pdf	http://datasheet.octopart.com/General-Multilayer-Ceramic-Capacitors-Samsung-datasheet-family-111.pdf																					
Multilayer Ceramic Capacitor, 4.7 uF, 10 V, ï¿½ 20%, X5R, 0402 [1005 Metric]	SAMSUNG/CL05A475MP5NRNC	Samsung	CL05A475MP5NRNC	Mouser	187-CL05A475MP5NRNC	C69	1	100	0.0252	2.5200		Surface mount	http://datasheet.octopart.com/CL05A475MP5NRNC-Samsung-datasheet-26589015.pdf	http://datasheet.octopart.com/CL05A475MP5NRNC-Samsung-datasheet-34153549.pdf	http://datasheet.octopart.com/CL05A475MP5NRNC-Samsung-datasheet-48647200.pdf	http://datasheet.octopart.com/CL05A475MP5NRNC-Samsung-datasheet-8324245.pdf	http://datasheet.octopart.com/CL05A475MP5NRNC-Samsung-Electro-Mechanics-datasheet-110226226.pdf	http://datasheet.octopart.com/CL05A475MP5NRNC-Samsung-Electro-Mechanics-datasheet-136031736.pdf	http://datasheet.octopart.com/CL05A475MP5NRNC-Samsung-Electro-Mechanics-datasheet-149136695.pdf	http://datasheet.octopart.com/CL05A475MP5NRNC-Samsung-Electro-Mechanics-datasheet-81461611.pdf	http://datasheet.octopart.com/CL05A475MP5NRNC-Samsung-Electro-Mechanics-datasheet-87580058.pdf																						
RF Switch SP3T 100MHz to 6GHz 18dB Automotive 12-Pin QFN EP T/R	SS2/SKY13373-460LF	Skyworks Solutions	SKY13373-460LF	Mouser	873-SKY13373-460LF	S2	1	16	1.2720	20.3520		Surface mount	http://datasheet.octopart.com/SKY13373-460LF-Skyworks-Solutions-datasheet-11012617.pdf	http://datasheet.octopart.com/SKY13373-460LF-Skyworks-Solutions-datasheet-137184574.pdf	http://datasheet.octopart.com/SKY13373-460LF-Skyworks-Solutions-datasheet-38206044.pdf																												
Res Thick Film 0402 162 Ohm 1% 0.063W(1/16W) ±100ppm/C Pad SMD Automotive T/R	STACKPOLE/RMCF0402FT162R	Stackpole Electronics	RMCF0402FT162R	Mouser	708-RMCF0402FT162R	R8,R9	2	100	0.0060	0.6000		Surface mount	http://datasheet.octopart.com/RMCF0402FT162R-Stackpole-Electronics-datasheet-10788263.pdf	http://datasheet.octopart.com/RMCF0402FT162R-Stackpole-Electronics-datasheet-12534581.pdf	http://datasheet.octopart.com/RMCF0402FT162R-Stackpole-Electronics-datasheet-141193804.pdf	http://datasheet.octopart.com/RMCF0402FT162R-Stackpole-Electronics-datasheet-28504820.pdf	http://datasheet.octopart.com/RMCF0402FT162R-Stackpole-Electronics-datasheet-62091608.pdf																										
Res Thick Film 0402 1.87M Ohm 1% 0.063W ±200ppm/°C Molded SMD Paper T/R	STACKPOLE/RMCF0402FT1M87	Stackpole Electronics	RMCF0402FT1M87	Digi-Key	RMCF0402FT1M87CT-ND	R30	1	100	0.0102	1.0200		Surface mount																															
