Format Version,1.23,Take Name,1.862v_take2,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2019-04-03 12.30.02.756 AM,Total Frames in Take,43235,Total Exported Frames,43235,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Unlabeled 3510,Unlabeled 3510,Unlabeled 3510,Unlabeled 3511,Unlabeled 3511,Unlabeled 3511,Unlabeled 3512,Unlabeled 3512,Unlabeled 3512,Unlabeled 3513,Unlabeled 3513,Unlabeled 3513,Unlabeled 3514,Unlabeled 3514,Unlabeled 3514
,ID,"D8AB0","D8AB0","D8AB0","D8AD0","D8AD0","D8AD0","D8B40","D8B40","D8B40","D8B50","D8B50","D8B50","D8B60","D8B60","D8B60"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
89,0.741667,0.116613,0.059988,-0.494930,0.482827,0.065284,-0.612704,,,,,,,,,
90,0.750000,0.116653,0.059927,-0.494945,0.482853,0.065270,-0.612707,,,,,,,,,
91,0.758333,0.116648,0.059873,-0.494876,0.482953,0.065262,-0.612596,,,,,,,,,
92,0.766667,0.116640,0.059816,-0.494862,0.482692,0.065115,-0.612941,,,,,,,,,
93,0.775000,0.116672,0.059936,-0.494950,0.482721,0.065181,-0.612908,,,,,,,,,
94,0.783333,0.116684,0.059963,-0.494914,0.482986,0.065341,-0.612568,,,,,,,,,
95,0.791667,0.116641,0.059890,-0.494895,0.482870,0.065265,-0.612701,,,,,,,,,
96,0.800000,0.116640,0.059928,-0.494869,0.482848,0.065281,-0.612718,,,,,,,,,
97,0.808333,0.116696,0.059931,-0.494943,0.482946,0.065287,-0.612580,,,,,,,,,
98,0.816667,0.116675,0.059848,-0.494936,0.482699,0.065121,-0.612919,,,,,,,,,
99,0.825000,0.116648,0.059828,-0.494952,0.482673,0.065099,-0.612933,,,,,,,,,
100,0.833333,0.116647,0.059912,-0.494831,0.482986,0.065325,-0.612519,,,,,,,,,
101,0.841667,0.116672,0.060019,-0.494827,0.482870,0.065342,-0.612637,,,,,,,,,
102,0.850000,0.116662,0.059999,-0.494958,0.482852,0.065307,-0.612715,,,,,,,,,
103,0.858333,0.116641,0.059865,-0.494932,0.482928,0.065265,-0.612621,,,,,,,,,
104,0.866667,0.116635,0.059848,-0.494849,0.482701,0.065118,-0.612936,,,,,,,,,
105,0.875000,0.116675,0.059930,-0.494893,0.482712,0.065164,-0.612932,,,,,,,,,
106,0.883333,0.116674,0.059897,-0.494938,0.482981,0.065288,-0.612551,,,,,,,,,
107,0.891667,0.116668,0.059872,-0.494881,0.482870,0.065221,-0.612675,,,,,,,,,
108,0.900000,0.116668,0.059990,-0.494832,0.482851,0.065312,-0.612691,,,,,,,,,
109,0.908333,0.116662,0.059984,-0.494953,0.482922,0.065304,-0.612584,,,,,,,,,
110,0.916667,0.116663,0.059913,-0.494874,0.482690,0.065169,-0.612901,,,,,,,,,
111,0.925000,0.116669,0.059896,-0.494827,0.482710,0.065163,-0.612897,,,,,,,,,
112,0.933333,0.116668,0.059835,-0.494927,0.482999,0.065293,-0.612536,,,,,,,,,
113,0.941667,0.116656,0.059871,-0.494930,0.482890,0.065235,-0.612681,,,,,,,,,
114,0.950000,0.116664,0.059960,-0.494823,0.482871,0.065299,-0.612713,,,,,,,,,
115,0.958333,0.116689,0.059979,-0.494871,0.482952,0.065320,-0.612592,,,,,,,,,
116,0.966667,0.116648,0.059884,-0.494891,0.482718,0.065139,-0.612878,,,,,,,,,
117,0.975000,0.116642,0.059891,-0.494914,0.482704,0.065139,-0.612956,,,,,,,,,
118,0.983333,0.116646,0.059929,-0.494963,0.483012,0.065312,-0.612542,,,,,,,,,
119,0.991667,0.116665,0.059867,-0.494922,0.482885,0.065250,-0.612640,,,,,,,,,
120,1.000000,0.116669,0.059852,-0.494944,0.482828,0.065232,-0.612756,,,,,,,,,
121,1.008333,0.116664,0.059961,-0.494899,0.482898,0.065306,-0.612666,,,,,,,,,
122,1.016667,0.116673,0.060002,-0.494900,0.483019,0.065393,-0.612441,,,,,,,,,
123,1.025000,0.116644,0.059959,-0.494816,0.482734,0.065227,-0.612841,,,,,,,,,
124,1.033333,0.116668,0.059878,-0.494920,0.483004,0.065275,-0.612520,,,,,,,,,
125,1.041667,0.116661,0.059873,-0.494922,0.482925,0.065253,-0.612662,,,,,,,,,
126,1.050000,0.116664,0.059896,-0.494887,0.482842,0.065257,-0.612756,,,,,,,,,
127,1.058333,0.116676,0.059901,-0.494947,0.482903,0.065268,-0.612673,,,,,,,,,
128,1.066667,0.116674,0.059899,-0.494882,0.483010,0.065326,-0.612475,,,,,,,,,
129,1.075000,0.116686,0.059963,-0.494942,0.482713,0.065231,-0.612853,,,,,,,,,
130,1.083333,0.116660,0.059922,-0.494971,0.482701,0.065189,-0.612899,,,,,,,,,
131,1.091667,0.116677,0.059916,-0.494815,0.482909,0.065275,-0.612608,,,,,,,,,
132,1.100000,0.116668,0.059835,-0.494936,0.482836,0.065185,-0.612757,,,,,,,,,
133,1.108333,0.116640,0.059822,-0.494897,0.482875,0.065193,-0.612737,,,,,,,,,
134,1.116667,0.116662,0.059908,-0.494841,0.483031,0.065340,-0.612480,,,,,,,,,
135,1.125000,0.116684,0.060012,-0.494875,0.482758,0.065265,-0.612789,,,,,,,,,
136,1.133333,0.116651,0.059955,-0.494926,0.483023,0.065391,-0.612480,,,,,,,,,
137,1.141667,0.116659,0.059911,-0.494935,0.482889,0.065268,-0.612655,,,,,,,,,
138,1.150000,0.116667,0.059954,-0.494952,0.482840,0.065281,-0.612708,,,,,,,,,
139,1.158333,0.116653,0.059933,-0.494894,0.482885,0.065282,-0.612667,,,,,,,,,
140,1.166667,0.116659,0.059816,-0.494980,0.482972,0.065221,-0.612586,,,,,,,,,
141,1.175000,0.116656,0.059850,-0.494938,0.482696,0.065088,-0.612914,,,,,,,,,
142,1.183333,0.116682,0.059959,-0.494913,0.483024,0.065371,-0.612439,,,,,,,,,
143,1.191667,0.116657,0.059933,-0.494797,0.482913,0.065324,-0.612591,,,,,,,,,
144,1.200000,0.116662,0.059888,-0.494932,0.482881,0.065250,-0.612755,,,,,,,,,
145,1.208333,0.116674,0.059850,-0.494939,0.482916,0.065237,-0.612735,,,,,,,,,
146,1.216667,0.116650,0.059851,-0.494816,0.482993,0.065292,-0.612531,,,,,,,,,
147,1.225000,0.116659,0.059890,-0.494932,0.482705,0.065138,-0.612906,,,,,,,,,
148,1.233333,0.116660,0.059930,-0.494936,0.482699,0.065145,-0.612930,,,,,,,,,
149,1.241667,0.116667,0.059974,-0.494880,0.482926,0.065339,-0.612572,,,,,,,,,
150,1.250000,0.116645,0.059978,-0.494945,0.482817,0.065281,-0.612687,,,,,,,,,
151,1.258333,0.116659,0.059946,-0.494988,0.482846,0.065265,-0.612710,,,,,,,,,
152,1.266667,0.116664,0.059894,-0.494854,0.482979,0.065321,-0.612554,,,,,,,,,
153,1.275000,0.116618,0.059849,-0.494887,0.482700,0.065132,-0.612922,,,,,,,,,
154,1.283333,0.116643,0.059850,-0.494914,0.482703,0.065117,-0.612924,,,,,,,,,
155,1.291667,0.116688,0.059922,-0.494877,0.482967,0.065318,-0.612597,,,,,,,,,
156,1.300000,0.116658,0.059988,-0.494818,0.482877,0.065311,-0.612682,,,,,,,,,
157,1.308333,0.116663,0.059955,-0.494932,0.482860,0.065289,-0.612698,,,,,,,,,
158,1.316667,0.116630,0.059880,-0.494949,0.482955,0.065270,-0.612573,,,,,,,,,
159,1.325000,0.116666,0.059917,-0.494920,0.482687,0.065164,-0.612897,,,,,,,,,
160,1.333333,0.116678,0.059921,-0.494969,0.482699,0.065147,-0.612921,,,,,,,,,
161,1.341667,0.116650,0.059825,-0.494888,0.482953,0.065271,-0.612612,,,,,,,,,
162,1.350000,0.116670,0.059888,-0.494853,0.482836,0.065234,-0.612704,,,,,,,,,
163,1.358333,0.116681,0.059998,-0.494801,0.482853,0.065299,-0.612673,,,,,,,,,
164,1.366667,0.116635,0.059927,-0.494930,0.482958,0.065333,-0.612575,,,,,,,,,
165,1.375000,0.116629,0.059850,-0.494917,0.482712,0.065116,-0.612949,,,,,,,,,
166,1.383333,0.116647,0.059883,-0.494899,0.482701,0.065152,-0.612945,,,,,,,,,
167,1.391667,0.116645,0.059951,-0.494868,0.482968,0.065322,-0.612569,,,,,,,,,
168,1.400000,0.116645,0.059879,-0.494921,0.482845,0.065245,-0.612719,,,,,,,,,
169,1.408333,0.116666,0.059922,-0.494935,0.482851,0.065272,-0.612716,,,,,,,,,
170,1.416667,0.116667,0.059980,-0.494913,0.482942,0.065351,-0.612549,,,,,,,,,
171,1.425000,0.116668,0.059945,-0.494951,0.482701,0.065193,-0.612886,,,,,,,,,
172,1.433333,0.116669,0.059888,-0.494933,0.482712,0.065147,-0.612909,,,,,,,,,
173,1.441667,0.116662,0.059871,-0.494900,0.482972,0.065277,-0.612540,,,,,,,,,
174,1.450000,0.116661,0.059852,-0.494846,0.482873,0.065233,-0.612730,,,,,,,,,
175,1.458333,0.116669,0.059904,-0.494922,0.482860,0.065227,-0.612750,,,,,,,,,
176,1.466667,0.116665,0.059897,-0.494935,0.482943,0.065277,-0.612628,,,,,,,,,
177,1.475000,0.116648,0.059980,-0.494814,0.482723,0.065218,-0.612862,,,,,,,,,
178,1.483333,0.116654,0.059945,-0.494915,0.482709,0.065204,-0.612870,,,,,,,,,
179,1.491667,0.116656,0.059912,-0.494909,0.482961,0.065278,-0.612586,,,,,,,,,
180,1.500000,0.116641,0.059921,-0.494927,0.482855,0.065256,-0.612720,,,,,,,,,
181,1.508333,0.116646,0.059889,-0.494796,0.482818,0.065257,-0.612703,,,,,,,,,
182,1.516667,0.116656,0.059881,-0.494903,0.482907,0.065260,-0.612648,,,,,,,,,
183,1.525000,0.116659,0.059929,-0.494937,0.482707,0.065172,-0.612912,,,,,,,,,
184,1.533333,0.116659,0.059961,-0.494906,0.482740,0.065241,-0.612862,,,,,,,,,
185,1.541667,0.116657,0.059954,-0.494874,0.483000,0.065351,-0.612531,,,,,,,,,
186,1.550000,0.116667,0.059913,-0.494914,0.482895,0.065272,-0.612707,,,,,,,,,
187,1.558333,0.116640,0.059823,-0.494933,0.482832,0.065222,-0.612769,,,,,,,,,
188,1.566667,0.116678,0.059873,-0.494957,0.482911,0.065236,-0.612686,,,,,,,,,
189,1.575000,0.116671,0.059926,-0.494868,0.483026,0.065337,-0.612480,,,,,,,,,
190,1.583333,0.116660,0.059925,-0.494824,0.482708,0.065198,-0.612856,,,,,,,,,
191,1.591667,0.116654,0.059929,-0.494924,0.482985,0.065329,-0.612496,,,,,,,,,
192,1.600000,0.116652,0.059868,-0.494835,0.482888,0.065243,-0.612679,,,,,,,,,
193,1.608333,0.116690,0.059933,-0.494954,0.482858,0.065248,-0.612768,,,,,,,,,
194,1.616667,0.116686,0.059916,-0.494931,0.482913,0.065272,-0.612687,,,,,,,,,
195,1.625000,0.116671,0.059891,-0.494930,0.483025,0.065303,-0.612510,,,,,,,,,
196,1.633333,0.116641,0.059861,-0.494897,0.482717,0.065161,-0.612885,,,,,,,,,
197,1.641667,0.116665,0.059982,-0.494927,0.483008,0.065359,-0.612488,,,,,,,,,
198,1.650000,0.116689,0.060009,-0.494907,0.482885,0.065327,-0.612631,,,,,,,,,
199,1.658333,0.116658,0.059909,-0.494953,0.482823,0.065229,-0.612749,,,,,,,,,
200,1.666667,0.116643,0.059859,-0.494942,0.482858,0.065227,-0.612677,,,,,,,,,
201,1.675000,0.116679,0.059904,-0.494947,0.483008,0.065297,-0.612524,,,,,,,,,
202,1.683333,0.116661,0.059884,-0.494956,0.482709,0.065140,-0.612923,,,,,,,,,
203,1.691667,0.116640,0.059889,-0.494816,0.483020,0.065315,-0.612478,,,,,,,,,
204,1.700000,0.116652,0.059922,-0.494791,0.482894,0.065285,-0.612632,,,,,,,,,
205,1.708333,0.116674,0.059952,-0.494931,0.482849,0.065281,-0.612716,,,,,,,,,
206,1.716667,0.116681,0.059941,-0.494867,0.482900,0.065279,-0.612685,,,,,,,,,
207,1.725000,0.116659,0.059873,-0.494952,0.483001,0.065299,-0.612538,,,,,,,,,
208,1.733333,0.116660,0.059853,-0.494941,0.482699,0.065126,-0.612896,,,,,,,,,
209,1.741667,0.116661,0.059872,-0.494928,0.483000,0.065316,-0.612509,,,,,,,,,
210,1.750000,0.116664,0.059914,-0.494932,0.482913,0.065304,-0.612643,,,,,,,,,
211,1.758333,0.116666,0.059985,-0.494837,0.482847,0.065300,-0.612711,,,,,,,,,
212,1.766667,0.116660,0.059967,-0.494865,0.482887,0.065314,-0.612658,,,,,,,,,
213,1.775000,0.116629,0.059887,-0.494901,0.482987,0.065321,-0.612533,,,,,,,,,
214,1.783333,0.116650,0.059862,-0.494916,0.482706,0.065117,-0.612930,,,,,,,,,
215,1.791667,0.116673,0.059912,-0.494922,0.483020,0.065334,-0.612502,,,,,,,,,
216,1.800000,0.116657,0.059871,-0.494911,0.482909,0.065258,-0.612661,,,,,,,,,
217,1.808333,0.116654,0.059918,-0.494932,0.482857,0.065254,-0.612729,,,,,,,,,
218,1.816667,0.116652,0.059987,-0.494826,0.482864,0.065345,-0.612623,,,,,,,,,
219,1.825000,0.116671,0.059942,-0.494883,0.482982,0.065342,-0.612529,,,,,,,,,
220,1.833333,0.116663,0.059951,-0.494868,0.482714,0.065175,-0.612889,,,,,,,,,
221,1.841667,0.116673,0.059896,-0.494952,0.482678,0.065135,-0.612926,,,,,,,,,
222,1.850000,0.116648,0.059829,-0.494914,0.482940,0.065250,-0.612650,,,,,,,,,
223,1.858333,0.116653,0.059901,-0.494865,0.482864,0.065229,-0.612747,,,,,,,,,
224,1.866667,0.116652,0.059960,-0.494891,0.482888,0.065293,-0.612687,,,,,,,,,
225,1.875000,0.116667,0.059931,-0.494893,0.482983,0.065340,-0.612544,,,,,,,,,
226,1.883333,0.116653,0.059922,-0.494931,0.482704,0.065166,-0.612921,,,,,,,,,
227,1.891667,0.116645,0.059916,-0.494934,0.482715,0.065196,-0.612896,,,,,,,,,
228,1.900000,0.116653,0.059886,-0.494839,0.482951,0.065294,-0.612608,,,,,,,,,
229,1.908333,0.116661,0.059872,-0.494986,0.482856,0.065216,-0.612759,,,,,,,,,
230,1.916667,0.116653,0.059903,-0.494952,0.482848,0.065239,-0.612712,,,,,,,,,
231,1.925000,0.116653,0.059930,-0.494819,0.482942,0.065306,-0.612525,,,,,,,,,
232,1.933333,0.116656,0.059956,-0.494918,0.482724,0.065230,-0.612835,,,,,,,,,
233,1.941667,0.116650,0.059942,-0.494924,0.482707,0.065176,-0.612890,,,,,,,,,
234,1.950000,0.116636,0.059940,-0.494830,0.482949,0.065343,-0.612567,,,,,,,,,
235,1.958333,0.116647,0.059945,-0.494879,0.482880,0.065260,-0.612737,,,,,,,,,
236,1.966667,0.116653,0.059871,-0.494935,0.482871,0.065234,-0.612735,,,,,,,,,
237,1.975000,0.116668,0.059823,-0.494904,0.482961,0.065268,-0.612615,,,,,,,,,
238,1.983333,0.116653,0.059907,-0.494850,0.482700,0.065153,-0.612925,,,,,,,,,
239,1.991667,0.116700,0.060029,-0.494923,0.482731,0.065272,-0.612838,,,,,,,,,
240,2.000000,0.116654,0.059923,-0.494919,0.482966,0.065315,-0.612561,,,,,,,,,
241,2.008333,0.116619,0.059862,-0.494873,0.482851,0.065223,-0.612728,,,,,,,,,
242,2.016667,0.116664,0.059918,-0.494955,0.482837,0.065234,-0.612715,,,,,,,,,
243,2.025000,0.116659,0.059886,-0.494850,0.482941,0.065291,-0.612602,,,,,,,,,
244,2.033333,0.116645,0.059896,-0.494882,0.482710,0.065165,-0.612923,,,,,,,,,
245,2.041667,0.116665,0.059923,-0.494818,0.482714,0.065169,-0.612876,,,,,,,,,
246,2.050000,0.116620,0.059943,-0.494802,0.482955,0.065331,-0.612549,,,,,,,,,
247,2.058333,0.116672,0.059986,-0.494914,0.482871,0.065306,-0.612680,,,,,,,,,
248,2.066667,0.116670,0.059955,-0.494968,0.482850,0.065246,-0.612727,,,,,,,,,
249,2.075000,0.116648,0.059829,-0.494911,0.482947,0.065226,-0.612606,,,,,,,,,
250,2.083333,0.116642,0.059813,-0.494841,0.482662,0.065116,-0.612905,,,,,,,,,
251,2.091667,0.116681,0.059944,-0.494954,0.482705,0.065172,-0.612896,,,,,,,,,
252,2.100000,0.116694,0.059988,-0.494921,0.483002,0.065359,-0.612516,,,,,,,,,
253,2.108333,0.116631,0.059905,-0.494800,0.482873,0.065272,-0.612642,,,,,,,,,
254,2.116667,0.116664,0.059900,-0.494922,0.482833,0.065213,-0.612711,,,,,,,,,
255,2.125000,0.116661,0.059928,-0.494958,0.482926,0.065272,-0.612614,,,,,,,,,
256,2.133333,0.116666,0.059912,-0.494876,0.482717,0.065182,-0.612940,,,,,,,,,
