Qty,Parts,Value,Can Substitute,Do not populate (DNP),Device,Package,Description,DESCRIPTION,DIGIKEY,MANUFACTURER,MPN,MOUSER,Notes
1,47nF,CAPACITOR0402_CAP,Y,,0402_CAP,C26,SMD Capacitor,CAP CER 0.047UF 16V X7R 0402,445-1264-1-ND,TDK Corporation,C1005X7R1C473K050BC,,
27,0.1uF,CAPACITOR0402_CAP,Y,,0402_CAP,"C27,C28,C29,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39,C40,C41,C42,C43,C44,C45,C46,C47,C48,C49,C50,C51,C52,C53",SMD Capacitor,CAP CER 0.1UF 16V X5R 0402,1276-1234-1-ND,Samsung Electro-Mechanics,CL05A104KO5NNNC,,
4,1uF,CAPACITOR0402_CAP,Y,,0402_CAP,"C54,C55,C56,C57",SMD Capacitor,CAP CER 1UF 10V X6S 0402,1276-6805-1-ND,Samsung Electro-Mechanics,CL05X105KP5NNNC,,
11,4.7uF,CAPACITOR0402_CAP,Y,,0402_CAP,"C58,C59,C60,C61,C62,C63,C64,C65,C66,C67,C68",SMD Capacitor,CAP CER 4.7UF 10V X5R 0402,490-14306-1-ND,Murata Electronics North America,GRM155R61A475MEAAD,,
2,10uF,CAPACITOR0603_CAP,Y,,0603_CAP,"C69,C70",SMD Capacitor,CAP CER 10UF 10V X5R 0603,490-10474-1-ND,Murata Electronics North America,GRM188R61A106KE69D,,
1,47uF,CAPACITOR0603_CAP,Y,,0603_CAP,C71,SMD Capacitor,CAP CER 47UF 6.3V X5R 0603,490-13247-1-ND,Murata Electronics North America,GRM188R60J476ME15D,81-GRM188R60J476ME5D,
1,GREEN,LED0603,Y,,LED-0603,D1,LED (Generic),LED GREEN CLEAR SMD,160-1446-1-ND,Lite-On Inc.,LTST-C191KGKT,,
2,SML-LX0404SIUPGUSB,SML-LX0404SIUPGUSB,Y,,1MM_SQ_4PAD,"D2,D3",1mm^2 RGB LED,LED RGB CLEAR SMD,67-2125-1-ND,Lumex Opto/Components Inc.,SML-LX0404SIUPGUSB,,
1,MICRO_USB_B_HIROSE_ZX62-B-5PA(11),MICRO_USB_B_HIROSE_ZX62-B-5PA(11),N,,USB_MICRO_B-HIROSE-ZX62-B-5PA(11),J1,"Connector Receptacle USB - micro B 2.0 5 Position Surface Mount, Right Angle, Horizontal",CONN MICRO SD CARD PUSH-PUSH R/A,HR1964CT-ND,Hirose Electric Co Ltd,DM3AT-SF-PEJM5,,
1,CON_MICRO_SDDM3AT-SF-PEJM5,CON_MICRO_SDDM3AT-SF-PEJM5,N,,DM3AT-SF-PEJM5,J2,CONN MICRO SD R/A PUSH-PUSH SMD,CONN RCPT USB MICRO B SMD R/A,H125270CT-ND,Hirose Electric Co Ltd,ZX62-B-5PA(33),,
